Index Name,Date,Open,High,Low,Close
NIFTY 50,18-Jun-04,1511.95,1515.05,1485.05,1491.2
NIFTY 50,21-Jun-04,1490.75,1499.8,1478.85,1482
NIFTY 50,22-Jun-04,1482.85,1489.6,1467.65,1474.7
NIFTY 50,23-Jun-04,1474.8,1481.45,1442.55,1446.1
NIFTY 50,24-Jun-04,1445.35,1474.3,1437.9,1470.75
NIFTY 50,25-Jun-04,1471.5,1494,1459.55,1488.5
NIFTY 50,28-Jun-04,1488.6,1516.95,1488.6,1514.35
NIFTY 50,29-Jun-04,1514.35,1528.5,1503.3,1518.3
NIFTY 50,30-Jun-04,1518.7,1532.15,1501.7,1505.6
NIFTY 50,01-Jul-04,1506.65,1539.15,1504.55,1537.2
NIFTY 50,02-Jul-04,1537.05,1547.65,1516.15,1537.5
NIFTY 50,05-Jul-04,1537.55,1546,1522.9,1526.85
NIFTY 50,06-Jul-04,1526.65,1561,1524.15,1558.25
NIFTY 50,07-Jul-04,1558.05,1578.5,1551.35,1566.8
NIFTY 50,08-Jul-04,1567.25,1586.55,1504.5,1518.15
NIFTY 50,09-Jul-04,1517.45,1557.75,1472.55,1553.2
NIFTY 50,12-Jul-04,1548.6,1562.8,1537.7,1556.95
NIFTY 50,13-Jul-04,1560,1569.75,1530.6,1539.3
NIFTY 50,14-Jul-04,1535.1,1552.25,1519.35,1522.75
NIFTY 50,15-Jul-04,1523.1,1543.25,1517.8,1539.4
NIFTY 50,16-Jul-04,1538.15,1562,1533.65,1558.8
NIFTY 50,19-Jul-04,1559.2,1582.35,1556.55,1571.6
NIFTY 50,20-Jul-04,1571.7,1581.05,1555.55,1566.1
NIFTY 50,21-Jul-04,1566.15,1600.7,1562.9,1581.4
NIFTY 50,22-Jul-04,1581.6,1609.55,1580.95,1598.1
NIFTY 50,23-Jul-04,1587.6,1610.85,1587.6,1601.6
NIFTY 50,26-Jul-04,1602.15,1620.35,1584.65,1618
NIFTY 50,27-Jul-04,1617.95,1629.35,1597.2,1600.75
NIFTY 50,28-Jul-04,1600.85,1609.45,1586.15,1594.15
NIFTY 50,29-Jul-04,1594.7,1624.3,1590.15,1618.7
NIFTY 50,30-Jul-04,1618.9,1638.7,1609.9,1632.3
NIFTY 50,02-Aug-04,1631.55,1643.8,1627.25,1639.05
NIFTY 50,03-Aug-04,1639.95,1648.35,1626.3,1630.6
NIFTY 50,04-Aug-04,1631.3,1635.95,1618.2,1626.55
NIFTY 50,05-Aug-04,1626.4,1656.25,1626.4,1654.95
NIFTY 50,06-Aug-04,1654.85,1658.7,1626.7,1633.4
NIFTY 50,09-Aug-04,1633.25,1644.4,1617.05,1642.6
