,date,instrument,ROE,Free_Cash_Flow,PE_TTM,market_cap,amount,open,close
224161,2022/11/25,002714.SZA,2.7288,-22234435584,-865.7612,2.49503E+11,1246961711,849.2297,868.4967
224162,2022/11/28,002714.SZA,2.7288,-22234435584,-853.20325,2.45884E+11,1093378380,860.5305,855.89905
224163,2022/11/29,002714.SZA,2.7288,-22234435584,-867.05396,2.49876E+11,1191097027,853.86115,869.7935
224164,2022/11/30,002714.SZA,2.7288,-22234435584,-887.7377,2.55837E+11,2058240652,871.6461,890.54254
224165,2022/12/1,002714.SZA,2.7288,-22234435584,-887.9223,2.5589E+11,1434657901,900.1761,890.72784
224166,2022/12/2,002714.SZA,2.7288,-22234435584,-903.06573,2.60254E+11,1880484969,891.0983,905.9191
224167,2022/12/5,002714.SZA,2.7288,-22234435584,-909.3447,2.62064E+11,1850525405,913.32947,912.2179
224168,2022/12/6,002714.SZA,2.7288,-22234435584,-918.76324,2.64778E+11,1644008488,917.03467,921.66614
224169,2022/12/7,002714.SZA,2.7288,-22234435584,-922.4567,2.65842E+11,2077714986,922.0367,925.37134
224170,2022/12/8,002714.SZA,2.7288,-22234435584,-899.18756,2.59136E+11,1856339379,917.59045,902.0286
224171,2022/12/9,002714.SZA,2.7288,-22234435584,-901.0343,2.59669E+11,1390161244,904.0665,903.8812
224172,2022/12/12,002714.SZA,2.7288,-22234435584,-888.661,2.56103E+11,1133136190,889.2457,891.4689
224173,2022/12/13,002714.SZA,2.7288,-22234435584,-931.95496,2.6858E+11,2023534851,904.6223,909.2538
224174,2022/12/14,002714.SZA,2.7288,-22234435584,-934.2336,2.69236E+11,1111689263,907.77167,911.47687
224175,2022/12/15,002714.SZA,2.7288,-22234435584,-921.5113,2.6557E+11,1095080727,911.8474,899.0645
224176,2022/12/16,002714.SZA,2.7288,-22234435584,-918.0934,2.64585E+11,981240509,895.1741,895.7298
224177,2022/12/19,002714.SZA,2.7288,-22234435584,-894.9274,2.57909E+11,1269924893,890.3573,873.1282
224178,2022/12/20,002714.SZA,2.7288,-22234435584,-878.2175,2.53093E+11,1133824631,874.6102,856.8253
224179,2022/12/21,002714.SZA,2.7288,-22234435584,-894.9274,2.57909E+11,1248227002,856.8253,873.1282
224180,2022/12/22,002714.SZA,2.7288,-22234435584,-917.33386,2.64366E+11,1652799909,877.20386,894.9888
224181,2022/12/23,002714.SZA,2.7288,-22234435584,-909.3587,2.62068E+11,755063185,895.7298,887.2079
241603,2022/1/4,002812.SZA,14.6085,-1846067584,101.971344,2.27144E+11,2068300427,889.32635,890.8313
241604,2022/1/5,002812.SZA,14.6085,-1846067584,95.94996,2.13731E+11,2433711215,878.6517,838.2277
241605,2022/1/6,002812.SZA,14.6085,-1846067584,93.37794,2.08002E+11,2111894882,843.61755,815.7583
241606,2022/1/7,002812.SZA,14.6085,-1846067584,90.50144,2.01595E+11,1852447675,815.47833,790.62897
241607,2022/1/10,002812.SZA,14.6085,-1846067584,92.54463,2.06146E+11,1548721900,787.47906,808.4785
241608,2022/1/11,002812.SZA,14.6085,-1846067584,95.33299,2.12357E+11,2987307004,848.34247,832.8379
241609,2022/1/12,002812.SZA,14.6085,-1846067584,100.52511,2.23923E+11,2791864803,864.442,878.19666
